Vertex	Adjacent vertexes
175397187	175397188
175397188	503196434
175397190	175397191
175397191	2472710150
175397195	2302886520
175397196	2472834431,4353588560,3053048021
175397198	536496872
175397199	536496842
175397205	3637086759
175397206	3637086763
175397209	5164412546,175394261,839065962
175432795	175432796
175432796	175432798
175432798	175432800
175432800	175432801
175432801	175432802
175432802	175258868
175432803	175058331
175432805	6731904274
175432806	6731904257,6731904255
175432807	4271034202
175432809	175332944
175432810	175432811
175432811	175432812
175432812	175432814
175432814	4434057086
175432815	175432816
175432816	6735433550
175432817	6734496380,6731904264
175432818	175432819
175432819	175266134
176132465	4346966253,5725243888,459785148
176132470	5164417954,944915215,3215687791
176132473	176132475,1371051146
176132475	176132476,176132473
176132476	619679459,176132475
176132477	319893598,619679459
176133254	3137267945,2210410050
176133255	842917451,842933438,842917320,842917378
176134377	1412621926,753494527,842933481
176134378	176134379,1412621926
176134379	1513815401,176134378
176134380	1513815671,1513815401
176134383	842917403,842933461,842933498,842928715
176134386	842928719,1434834751,926755205
176134389	926755234,842928705,1545397639,1545397738
176134392	569927218,1011415127,1011415186,1005034334
176134395	1011415169,944186390,1011415162
176141242	999135092,1133656877
176141243	5121112981
176141244	2210410034,176141482
176141245	1133656884
176141246	176141245
176141248	4365518255
176141249	176141248,474653048
176141482	176141244,1133656959
176141483	4375433045
176141484	176141249
176144580	4365518258,3774821101
176144584	803363042,704313260,740571735,703571071
176144585	3754158513,775948804
176144588	806275554,806275555,533701206,2320008609
176147425	807615498,761892207,866626728,866626811
176147433	3612986556,568020070
176157975	1487547490
176157976	2962767653
176157977	1660291038,4038606167
176157979	176157980,1487547512
176157980	456228150
176157981	2395825125
176157983	3612986547,858012979
176157986	1210626939,5077348402,2318880869
176157987	931476066,2351239194,2319928612,1615198889
176162842	1393925374
176162843	175266317
176162844	176162846
176162846	176162849
176162849	636903506
176162852	2874205505
176169911	3392558130,2318880845,4347298033
176169912	1082041809,3392558130
176169913	176169914,1082041809
176169914	176169915,176169913,1188750548
176169915	411722001,176169914
176169916	1188750678,411722001
176169917	2154033733,1188750678
176169918	825443249,2154033733
176169920	1188750515,3392545729
176169921	176169922,3392545730
176169922	176169923,176169921
176169923	939957998,176169922
176169924	931540612,939957998,850626165
176169925	1154170407,931540612
176169926	931540544,1154170407
176169927	4347321633,1487547356,850626174
176169928	1660291045,1487547356
176171244	4776764999,538986783
176171245	1153180667,1569493962,841989530
176176298	241893697,421262970
176176301	176176302,415534056
176176302	176176303,176176301
176176303	967976201,176176302
176176307	176176308,1448705448
176176308	176176307,4347321646
176176310	849602500,852870330,3689394232,850625975
176176312	3230963297,2045030995
176176315	931406773,858012972
176176319	2453897410,1748425972
176176320	914491387,858018883,2453897410
176176323	864514732,598408642,864514839,662749074
176176327	410055100
176176328	750389973,1636383833,806396379
176176329	1150495929
176176333	5862698981
176176336	759586633,674025567
176176338	802042410,761372494
176179609	603552227,1741004711,943972574
176179610	740946324,2045030848
176179611	603552177,5516193368,5516193369
176179613	176179614,2045030947
176179614	1322342138,3215687783,176179613
176179615	2045030941,3215687783
176179616	176179617,3987390340
176179617	1405591090,176179616
176179618	3215687782,1405591090
176179619	176179620,3215687781
176179620	687668870,176179619
176179621	176184691,360177842,687668870,687668868
176180269	2045031011,687668868
176180270	2045031008,2045031011
176180272	3208422453,1405591084
176180273	763375431,763386006,663606420,599597199
176184691	528734118,176179621
176184692	4552081690,2371488776
176184693	4625250952,599586666,768975977
176184694	2368611037,2368611035
176188545	768404998,1421997721
176188546	943952797,943952701
176188547	5382904504,943952665
176188549	957928437,409769016
176188551	957928437,176188552
176188552	1255691113,176188551
176188554	929938459,1860714769
176188555	613597921,613597920,613597889,613597901
176188558	3224872787,474427737
176188559	803414641,792224067,598054726,1643995389
176188560	2993912382,410198761
176188561	3224872791,470135109
176188564	803414525,901158437
176188569	894540361,4297959151
176188570	894540371,894540361,894540381
176188571	176188572,895814940
176188572	176188846,176188571
176188846	176188847
176188847	2126776924
176188850	176188851
176188851	2127709109
176188854	5573350806,5573350807
176189218	2126776911
176189219	2126776919
176189221	176189222
176189222	176188572
176195117	3754575452,3158022307
176195118	176195119,3754575452
176195119	176195118,5573159159
176195120	866626713,866626771,598408648
176195122	3672420688,2068584524,807615525
176195123	3672420686,807615561,807615551,807615491
176195127	1015462003,761892230,1015462004,1051012384
176197018	4365580484,4365717660
176197019	2885181135,986323921
176197023	694093216,1245159303
176197024	1245159303,176197025
176197025	176197024,776534915
176197027	679117130,679117162,776534915
176201773	5636635501,796649970
176201780	4346950694,806279196,806279153
176201781	176201782,795997487,748779883,541397453
176201782	176201781,5636636332
176203292	176203293
176203293	6030331399,412486513,806279553
176203297	416564070,778947428
176267558	3613226464,5637153591
176267559	2210410045,1318719983
176267562	552102170,5647126784,5010933795,4967986735
176267569	1636147264
176267572	176267573,415369699
176267573	176267575,176267572
176267575	1740741119,176267573
176267576	798730734,931680706,192072555,3729072125
176267578	176267579,931680706
176267579	513095401,176267578
176267581	3639806337,513095401
176267582	1154203972,911659128,1154203800,931681118
176267584	176267585,3639806336
176267585	176267584,176267586
176267586	176267588,176267585
176267588	1154212012,966505791,176267589,176267586
176267589	5678266183,176267588
176267591	475880389,1616410315,4843537108
176267595	176267596,220564673
176267596	176267597,176267595
176267597	220564194,176267596
176267599	2964701195,220563120
176267600	966505801,176267601,2964701195
176267601	176267602,176267600
176267602	176267603,176267601
176267603	176267604,176267602
176267604	176267605,176267603
176267605	176267606,176267604
176267606	966505769,176267605
176267607	3512350115,231270661
176267608	176267610,4061470789
176267610	176267612,176267608
176267612	176267613,176267610,528072465
176267613	5828756990,176267612
176267614	492463574,5828756990
176267615	176267617,492463574
176267617	2657847803,176267615
176267621	176267622,2285466394
176267622	176267623,176267621
176267623	919390827,176267622
176267624	919387336,919390827
176267632	176267633,2661009357
176267633	176267632
176277593	2924578322,796661471
176277595	612896049,541397189
176277596	795996685,702481833,704313276
176277597	552097722,773458442,740474688
176277599	795512239,795512348,704313274
176277603	410049575,2081301686
176277604	1971425483,805391746,805391782
176277605	410060113,470133815
176279659	501570999,179443339
176279660	3611204626,410067529
176279662	598054715,598054719,595755427
176279663	724916519,2086979289
176279664	176279665,3263470211
176279665	598054919,176279666,176279664
176279666	3263470212,176279665
176279667	3609554652,3263470213
176279670	192196891,857052625,1337181372,791267613
176289960	176300889
176290127	175249075
176294204	854622664
176294256	606183320
176299746	3060451290
176299747	176302954
176299748	638206366
176299755	864514714
176299756	1805847102
176299757	176299756
176299759	1703025303
176299760	708946145
176299761	1703025395
176300872	410057026,562668909
176300873	176300872
176300874	1703025329
176300875	1703025325
176300876	176300875
176300880	956008819,864514712,192078101
176300882	1060972451
176300883	176300882
176300884	638206367
176300885	176300884
176300886	176300885
176300887	763448941
176300888	176300887
176300889	175235020
176301558	839926893,2884663915
176302954	176299746
176304995	175241175
176305074	319895862
176342185	1273214060,3488637450
176342187	826190618,826190570
176342189	669994945,669994943
176342193	3229508984,3255171397
176342199	4361177386,431234155,431233269
176342201	3241353188,1970364562,3241329874,3241353189
176342202	1210750341,1210749332,1210750695,1141977884
176342203	1210750223,1003932317
176342204	882297701,1210750616
176342205	1000784044,2399282225
176342206	998600377,3309366561,998600324,998600010
176342208	176342210,998600554
176342210	1000783822,176342208
176342211	828203540,1000783822
176342212	176342213,999071122
176342213	1074597282,176342212
176342215	1928539622,1074597282
176342216	176342217,1074597275
176342217	1074597268,176342216
176342218	1717523479,1074597268
176342220	1074597278,3616666804
176342222	176342223,1074597278
176342223	176342222,1000783780
176397091	3096836944
176397092	2625026807
176397093	1255602535
176397094	3096836971,4355096595,1760105959
176397095	176397096
176397096	657736689
176397097	3459395002
176397098	176397099
176397099	2354855821,4355105776
176403719	412696534
176403721	176403719
176403722	176403721
176403724	814657983
176403725	436174634
176403726	419506788,7100919209,1266677813
176412152	176397091
176414573	1382485401
176529942	414402702
176529944	6727654141
176529946	1270389094
176529947	5636636368
176529948	176529947
176529949	176529948
176529951	798225242,4347135495
176530988	802037629
176530990	1323636035
176530993	1360084534
176533519	2511065263,5636636371
176533523	4084623220,5636636402
176533524	585869121,585869117,5636636407,4084623220
176533525	5636636408,585869114,5636636407
176533527	3446686393,5636636408,585869111,585869124
176533529	176533530,3446686393,425231882
176533530	4084623219,176533529
176533532	712328350,192237698,1954427954
176533533	835036567,712328296,835036562,943760894
176533535	568024660,712328087,4550954198,833069669
176533536	3693074850,3693074851
176533537	619073138
176537727	5033866619,5052829956
176537728	712328207,4215223339,3915870760
176537730	712328320,712328343,1615741196
176537731	176573578,712328343
176537734	3915870766,425236292,1615741775
176537736	1954427996,966533768,176537737,833082675
176537737	4347088996,425222671,4347089006,176537736
176537738	4897540902,425227808,4347089006,176537740
176537740	176537741,176537738
176537741	192244908,176537743,176537740
176537743	176537744,176537741
176537744	176537745,176537743
176537745	176537747,176537744
176537747	176539421,176537745
176539421	1954428023,176537747
176539422	1954428043,1528085629
176545235	176545237,1561009558
176545237	1830502740,176545235
176545238	176545239,1830502740
176545239	176545240,176545238
176545240	176545241,176545239
176545241	176545242,176545240
176545242	176545243,176545241
176545243	176545244,176545242
176545244	176545245,176545243
176545245	176545246,176545244
176545246	176545247,176545245
176545247	176545248,176545246
176545248	176545250,176545247
176545250	176545251,176545248
176545251	1809564545,176545250
176545253	176545254,1809564545
176545254	176545255,176545253
176545255	176545256,176545254
176545256	176545257,176545255
176545257	176545258,176545256
176545258	176545259,176545257
176545259	176545258,1748405613,1809564552
176545260	176545261,1748405613
176545261	176545262,176545260
176545262	176545263,176545261
176545263	176545265,176545262
176545265	4277813153,176545263
176545267	4277813153
176567986	1723726423,425229668
176567992	1154203934,966505785,4373597407
176573578	3915870765,712328164,176537731
176602990	847531452,414405319,847531451,568024659
176602996	2324428083,4347088679
176602997	1239629877,618799462
176602999	1776170143,643337560
176603000	931726914,2308314044
176605047	804760271,4931365386,4931365387
176605397	4911865506,426471806
176605399	4931365386,1064228793
176609221	3483076948,568024659,4967986734
176609224	1636150151,4384070606
176609227	4158118939,4401010572
176609229	176609230,4401010572
176609230	6531516539,176609229
176609231	176620226,574840028
176611811	3579744507
176611812	1614376654
176613303	1614399473
176620226	176611811,176622200,176609231
176622200	3206342861,176620226,4832001155
176624355	3669865280,469191122,603470132,603470131
176624721	414414109,6464381894,603470137
176625127	176611811
176629101	2166650662
176629104	930170861,469191096,930170986
176668351	496218309,3478145202,1193125214
176668352	5404994284,480009248
176668355	176668356,507091518
176668356	176668357,176668355
176668357	915838101,176668356
176668360	4347164040,3860253195,470354178,1352400623
176668367	459511261,410992895
176668368	3822984192,1184114912
176668369	3822984194,3822984192
176668371	176699630,1184115049
176668373	2327053491,1387782407,3225428954
176668374	1367635985,2347129117
176670262	3225428961,6551567171
176670263	176670264,3225428961
176670264	435341202,176670263
176670266	3680184167,176670269,435341202
176670269	435341205,176670266
176677175	2347129144,435341205
176677177	176677178,2347129144
176677178	176677179,176677177
176677179	412750017,176677178
176677180	6551605827,412750017
176677183	1037470149,176677184
